"Category","Product ID","Product name","Unit","Unit price (USD)","Power (W)","Energy (Wh)","Nameplate voltage (V)","Battery capacity (Ah)","Nominal input/system voltage (V)","Supported system voltages (V)","Controller current (A)","Inverter type","Included MPPT (A)","Maximum PV power (W)","PV power by voltage","Maximum PV voltage (V)","Maximum series units","Maximum parallel strings","Continuous battery discharge (A)","Maximum array allowance (W)","Specification sources","Price evidence","Observed matching-product USD range","Notes"
"hybridInverters","hybrid-1000","MUST PV18-1012 VPM 12 V 1 kW integrated inverter","inverter","220","1000","","","","12","","","integrated","60","625","","75","Unknown","Unknown","Unknown","","https://pas-solar.com/wp-content/uploads/2023/05/MUST-PV18-1012-VPM.pdf","2026-09-07; Kenya; KES 23500; 1 USD = 129.46 KES; comparable-class; Tax and delivery unconfirmed; 40 A class, not matching 60 A model; https://kreatives.co.ke/product/premier-1000watts-40mppt-hybrid-inverter-1kw-hybrid-inverter | 2026-09-07; Kenya; KES 27500; 1 USD = 129.46 KES; comparable-class; Tax and delivery unconfirmed; confirm revision; https://www.logike.co.ke/product/MUST-1KW-1000Watts-12V-MPPT-Solar-Hybrid-Inverter/95136678","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"hybridInverters","hybrid-2000","MUST PV18-2024 VPM 24 V 2 kW integrated inverter","inverter","310","2000","","","","24","","","integrated","60","1500","","145","Unknown","Unknown","Unknown","","https://pas-solar.com/wp-content/uploads/2023/05/MUST-PV18-1012-VPM.pdf","2026-09-07; Kenya; KES 40000; 1 USD = 129.46 KES; listed-product; Delivery in Nairobi CBD advertised; tax unconfirmed; https://solarstore.co.ke/must-solar/","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"hybridInverters","inverter-24-300","Green Cell INV14 24 V 300 W standalone inverter","inverter","45","300","","","","24","","","standalone","","","","","Unknown","Unknown","Unknown","","https://greencell.global/pl/przetwornice/2428-przetwornica-napiecia-inwerter-green-cell-24v-na-230v-300w600w-czysta-sinusoida.html","2026-09-07; Kenya; KES 5367.74; 1 USD = 129.46 KES; listed-product; Gross price; delivery unknown; listed out of stock; https://www.senetic.co.ke/product/INV14","Insufficient comparable observations","Single listing; availability unconfirmed. Surge duration unknown."
"hybridInverters","inverter-48-200","Victron Phoenix 48/250 VE.Direct standalone inverter","inverter","130","200","","","","48","","","standalone","","","","","Unknown","Unknown","Unknown","","https://www.victronenergy.com/inverters/phoenix-inverter-vedirect-250va-800va","2026-09-07; Kenya; KES 16216; 1 USD = 129.46 KES; listed-product; Tax and delivery unconfirmed; https://voltwise.ke/catalog","Insufficient comparable observations","250 VA is not 250 W; 200 W continuous reference. Temperature derating requires review."
"hybridInverters","hybrid-48-5000","MUST PV18-5048 VHM 48 V 5 kW integrated inverter","inverter","570","5000","","","","48","","","integrated","80","3840","","145","Unknown","Unknown","Unknown","","https://www.mustpower.cn/wp-content/uploads/2018/03/PV18002-5KW.pdf","2026-09-07; Kenya; KES 68000; 1 USD = 129.46 KES; listed-product; Tax and delivery unconfirmed; https://i-solar.co.ke/product/must-5kw-5000watts-48v-80a-pv1800-vhm-hybrid-solar-mppt-inverter/ | 2026-09-07; Kenya; KES 74000; 1 USD = 129.46 KES; listed-product; Nairobi CBD delivery advertised; tax unconfirmed; https://solarstore.co.ke/product-brand/must/","525.26 - 571.61","USD 525-572 observed before unknown tax/delivery. Rounded upper allowance; verify VHM revision."
"dcDistribution","dc-board-small","Compact DC protection allowance","set","40","","","","","","","","","","","","","Unknown","Unknown","Unknown","300","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"dcDistribution","dc-board","DC breaker board, fuses, labels, and surge protection","set","100","","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"acDistribution","ac-board-small","Compact AC protection allowance","set","50","","","","","","","","","","","","","Unknown","Unknown","Unknown","300","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"acDistribution","ac-board","AC breaker board, RCD, outlets, and labels","set","90","","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"cabling","cable-kit-small","Compact PV, battery, and load cabling allowance","kit","50","","","","","","","","","","","","","Unknown","Unknown","Unknown","300","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"cabling","cable-kit","PV, battery, and load cabling with MC4/connectors","kit","140","","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"earthing","earth-kit-small","Compact earthing and surge allowance","kit","70","","","","","","","","","","","","","Unknown","Unknown","Unknown","300","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"earthing","earth-kit","Earthing rod, bonding, surge, and lightning protection kit","kit","140","","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
"monitoring","monitor-kit","Battery monitor and remote energy logging","kit","150","","","","","","","","","","","","","Unknown","Unknown","Unknown","","","","Insufficient comparable observations","Existing planning allowance; see docs/PRICING.md. Not an installed quotation."
